UCLA 2009 Price,UCLA 2019 Price
340900.0,625400.0
331400.0,624500.0
325300.0,631000.0
319700.0,636000.0
316500.0,633700.0
322900.0,632200.0
333000.0,634300.0
341700.0,638600.0
347900.0,643600.0
353000.0,646000.0
359900.0,651700.0
362300.0,659600.0
