UCB 2009 Price,UCB 2019 Price
313700.0,785800.0
304400.0,790400.0
287100.0,789900.0
274900.0,785400.0
274800.0,782600.0
296100.0,780200.0
320400.0,770400.0
339900.0,759500.0
355200.0,766800.0
364600.0,782400.0
373600.0,789000.0
384400.0,806000.0
