UCM 2009 Price,UCM 2019 Price
95800.0,257000.0
97500.0,257300.0
99200.0,257200.0
100300.0,260800.0
102100.0,264400.0
104600.0,274100.0
106200.0,268300.0
107400.0,264400.0
108100.0,263000.0
110300.0,273700.0
115900.0,276500.0
117800.0,279400.0
