UCSB 2009 Price,UCSB 2019 Price
264700.0,576000.0
258900.0,565900.0
247700.0,553900.0
260300.0,560400.0
262500.0,573900.0
282000.0,577400.0
298500.0,569700.0
320100.0,572400.0
334200.0,563400.0
340100.0,569300.0
338900.0,582200.0
335900.0,596400.0
