UCSD 2009 Price,UCSD 2019 Price
292500.0,551900.0
289300.0,556200.0
284200.0,554200.0
285500.0,560300.0
284200.0,559400.0
291100.0,563600.0
297900.0,562700.0
308300.0,566600.0
314100.0,563900.0
318700.0,571200.0
321600.0,577500.0
324800.0,583100.0
