California County,census_tract,hispanic,white,african_american,native_american,asian_american,other,unemployment,poverty,ces_pollution_score,ozone,pesticides,tox_release,asthma,cardiovascular_disease,low_birth_weight
Riverside ,6065040303.0,71.4,20.4,2.6,0.2,4.1,1.4,11.8,38.6,44.36,0.062,0.0,2862.467019,55.89,12.3,4.56
Solano ,6095250900.0,19.1,20.8,36.2,0.8,17.8,5.4,31.7,81.4,44.36,0.035,0.31,1752.652919,193.5,15.18,8.5
Imperial ,6025010102.0,78.8,14.9,2.8,0.9,1.2,1.5,20.9,58.8,44.35,0.048,717.19,7.459412123,60.75,8.24,5.11
Fresno ,6019007700.0,69.9,26.1,1.6,0.5,0.7,1.3,14.8,64.4,44.34,0.062,1527.67,229.71340809999998,63.1,12.73,5.18
Orange ,6059074502.0,91.7,2.5,0.2,0.1,5.2,0.2,9.2,55.8,44.33,0.046,0.0,33577.976310000005,46.96,7.75,6.13
Tulare ,6107004101.0,83.8,11.1,0.6,0.9,2.5,1.1,13.3,75.6,44.29,0.065,1.83,31.10135357,58.17,11.87,5.77
Sutter ,6101050302.0,55.9,33.0,1.6,1.0,5.6,2.9,20.4,69.5,44.28,0.048,1.14,0.441166902,40.59,12.26,5.83
San Bernardino,6071009116.0,57.3,17.2,21.0,0.4,1.1,2.9,33.2,86.8,44.28,0.065,0.0,136.1217239,106.71,17.46,9.34
Sacramento ,6067007001.0,56.7,24.4,5.3,1.1,8.8,3.7,16.8,62.2,44.27,0.048,0.0,468.14416789999996,76.85,9.6,4.44
San Diego,6073011601.0,82.5,4.9,2.2,0.3,9.1,1.0,12.7,69.4,44.26,0.04,0.0,548.3468812000001,79.8,10.3,4.87
San Bernardino,6071001808.0,63.0,23.7,8.0,0.1,3.6,1.5,1.6,35.3,44.25,0.062,0.0,8209.088239,51.6,14.93,5.12
Yuba ,6115040100.0,26.1,57.8,4.6,2.3,5.0,4.2,16.9,68.9,44.25,0.048,148.01,0.310668489,50.08,13.87,4.7
Los Angeles,6037235201.0,31.1,1.2,63.2,0.4,0.5,3.7,19.1,48.6,44.25,0.046,0.0,3703.4220880000003,110.34,8.23,7.95
Merced ,6047000504.0,73.4,19.1,1.2,0.2,4.7,1.4,21.6,61.0,44.24,0.057,1959.1,33.56232033,78.32,12.23,5.09
Los Angeles,6037601802.0,94.8,2.1,1.7,0.1,0.8,0.5,10.3,51.7,44.23,0.044000000000000004,15.39,4443.299016,68.31,11.03,5.49
Los Angeles,6037551700.0,79.1,11.4,4.1,0.2,3.9,1.2,9.8,39.4,44.2,0.044000000000000004,0.0,6001.020541,53.29,9.43,5.39
San Francisco,6075061200.0,36.7,7.6,31.3,0.4,21.4,2.5,15.3,45.5,44.19,0.03,0.0,212.0798626,135.72,9.53,6.67
Los Angeles,6037296901.0,60.4,24.4,6.4,0.3,5.1,3.4,11.6,41.3,44.19,0.042,0.0,4976.158743,84.98,9.68,5.25
Los Angeles,6037550800.0,67.9,23.7,2.2,0.2,5.2,0.9,10.9,32.4,44.19,0.046,0.0,7762.264122,46.89,9.19,4.17
San Bernardino,6071002803.0,82.3,9.0,6.5,0.1,1.4,0.8,18.2,63.2,44.19,0.065,0.0,3227.733484,74.3,13.02,6.8
Los Angeles,6037500500.0,89.0,5.6,0.9,0.1,4.3,0.2,9.6,50.7,44.18,0.046,0.0,10397.195020000001,62.94,13.75,4.98
Los Angeles,6037115403.0,57.4,21.6,4.0,0.1,14.8,2.2,10.7,54.5,44.18,0.06,0.0,500.15761330000004,44.38,8.5,5.31
Kern ,6029002813.0,44.1,32.4,14.6,0.3,5.9,2.7,14.6,63.5,44.17,0.065,0.0,52.27020734,82.51,11.06,5.97
Los Angeles,6037128220.0,44.5,44.9,4.1,0.1,4.5,1.8,11.4,47.2,44.17,0.055,0.0,1018.5916070000001,57.53,14.06,6.23
Los Angeles,6037139303.0,26.8,53.8,6.5,0.4,7.3,5.4,14.9,49.4,44.17,0.06,0.0,542.6365559,53.51,9.31,6.83
Orange ,6059011403.0,47.9,38.6,1.9,0.3,9.1,2.2,11.0,47.6,44.16,0.046,0.0,10012.1193,44.36,7.79,5.59
Kings ,6031000300.0,19.5,56.8,9.0,0.6,7.9,6.3,17.0,54.3,44.16,0.062,293.93,126.92994440000001,78.78,10.74,5.96
Kern ,6029002700.0,59.3,30.5,5.2,0.7,1.9,2.3,12.6,54.8,44.15,0.065,0.0,54.22320552,121.62,11.62,5.43
Los Angeles,6037209810.0,71.9,7.4,8.5,0.1,11.2,0.8,12.7,78.9,44.13,0.046,0.0,3832.558158,56.69,6.98,5.38
Los Angeles,6037572201.0,30.5,17.6,16.9,0.2,31.3,3.5,10.0,25.3,44.11,0.042,0.67,8045.900116,70.85,8.5,5.59
San Joaquin,6077004403.0,68.8,15.1,0.4,0.2,14.2,1.3,23.3,78.9,44.11,0.048,0.23,182.0588756,48.82,9.34,4.83
Los Angeles,6037209104.0,84.6,4.6,4.7,0.1,5.1,0.9,10.2,79.5,44.1,0.046,0.0,4186.055820000001,44.3,4.74,4.55
San Mateo,6081612000.0,72.8,3.2,13.0,0.1,9.0,2.0,12.7,52.1,44.09,0.033,0.0,189.1263791,67.59,7.51,5.95
Stanislaus ,6099003002.0,56.4,36.9,0.8,0.5,3.3,2.0,23.7,58.6,44.08,0.055,1826.34,491.9446205,42.34,10.57,4.18
Riverside ,6065045706.0,98.4,0.9,0.3,0.0,0.2,0.1,23.2,71.7,44.08,0.062,483.54,1.884140612,51.53,9.04,5.07
Orange ,6059088101.0,40.4,38.1,2.0,0.3,16.5,2.7,13.1,33.2,44.07,0.044000000000000004,0.02,27866.666589999997,41.75,6.75,7.93
Stanislaus ,6099001300.0,18.2,74.3,1.8,0.6,2.3,2.7,12.7,31.4,44.07,0.053,654.91,893.7611318,90.02,11.65,3.56
Los Angeles,6037208902.0,91.3,2.9,0.7,0.3,4.3,0.6,5.3,84.7,44.05,0.046,0.0,4113.449863,41.6,5.08,6.38
Los Angeles,6037405203.0,70.0,6.4,1.0,0.3,21.4,0.9,7.2,35.7,44.04,0.053,0.0,10326.1748,42.89,7.45,7.41
Los Angeles,6037208401.0,78.8,3.5,1.6,0.1,15.3,0.8,10.2,78.5,44.01,0.046,0.0,4078.105851,35.35,4.67,4.95
Los Angeles,6037131701.0,38.1,30.8,6.6,0.2,21.1,3.3,11.2,52.2,43.97,0.06,0.0,441.73897639999996,75.99,11.07,7.43
Los Angeles,6037131010.0,55.7,21.2,4.2,0.1,15.4,3.3,10.9,53.8,43.96,0.06,0.0,480.62667419999997,75.99,11.07,4.68
Alameda ,6001402500.0,4.5,8.1,66.8,0.4,16.5,3.6,25.5,75.5,43.96,0.03,0.0,330.6953216,165.52,6.44,7.3
Merced ,6047002500.0,33.0,58.1,0.6,0.9,6.1,1.4,13.1,37.6,43.95,0.057,729.49,54.36303323,68.89,12.57,4.31
Los Angeles,6037234800.0,42.5,1.3,52.8,0.1,0.5,2.9,15.7,34.4,43.95,0.046,0.0,3506.611058,118.01,8.79,7.03
Los Angeles,6037221602.0,90.5,1.7,4.1,0.0,2.9,0.7,22.5,73.1,43.94,0.046,0.0,3651.882021,46.78,6.8,5.16
Tulare ,6107003700.0,58.8,34.1,0.7,1.0,2.9,2.4,13.5,66.2,43.94,0.065,55.35,35.98403427,58.17,11.87,5.81
Fresno ,6019007802.0,96.2,1.9,0.6,0.2,0.3,0.9,14.5,88.4,43.94,0.06,4848.27,93.93692297,61.0,12.95,3.61
Los Angeles,6037106510.0,63.8,20.1,6.8,0.3,7.4,1.6,10.2,18.7,43.94,0.062,0.0,427.7894113,64.44,8.17,6.02
Sacramento ,6067006201.0,27.7,47.6,14.0,0.8,5.0,4.8,29.5,75.6,43.92,0.051,0.0,154.6870816,107.99,9.15,6.9
Los Angeles,6037124203.0,75.7,16.2,2.4,0.4,3.8,1.5,10.0,53.0,43.91,0.053,0.0,1315.700255,54.84,8.57,5.33
Contra Costa,6013368001.0,78.4,5.6,8.1,0.2,6.6,1.0,15.1,60.3,43.89,0.03,1.06,1110.394658,108.14,10.68,5.06
San Joaquin,6077005305.0,42.7,37.3,6.4,0.3,9.5,3.8,15.2,33.3,43.89,0.053,5.75,325.31824389999997,113.01,11.57,3.91
Los Angeles,6037104108.0,79.3,4.8,11.1,0.1,3.5,1.2,10.5,59.1,43.88,0.055,2.44,766.8542071,54.52,6.04,5.65
Los Angeles,6037530901.0,98.6,0.4,0.1,0.0,0.5,0.4,9.5,54.0,43.88,0.046,0.0,11250.434940000001,53.1,10.63,4.98
Los Angeles,6037127805.0,60.4,27.7,4.3,0.2,6.0,1.5,9.4,61.3,43.88,0.055,0.0,716.980038,66.68,9.69,5.08
Kern ,6029000507.0,23.3,69.1,1.3,1.1,3.7,1.6,7.3,22.0,43.88,0.062,0.0,684.8229922,80.96,11.73,5.78
Los Angeles,6037190201.0,34.4,47.9,9.0,0.6,5.4,2.7,7.4,63.7,43.87,0.05,0.0,2085.240154,45.65,7.5,6.32
Riverside ,6065042519.0,63.7,11.1,18.9,0.4,3.5,2.5,11.9,78.9,43.85,0.065,0.0,653.5023367,75.3,11.27,5.66
Sacramento ,6067006202.0,33.2,41.7,14.0,0.7,6.4,4.0,20.8,65.9,43.84,0.05,0.0,171.0849026,101.34,9.04,4.85
Orange ,6059087805.0,59.1,18.4,3.2,0.1,17.6,1.6,9.6,47.4,43.83,0.046,27.9,10487.5657,45.43,7.64,4.85
Los Angeles,6037553100.0,44.6,24.3,15.2,0.3,12.6,2.9,7.8,35.5,43.81,0.044000000000000004,0.0,5816.36241,79.03,11.13,5.22
Orange ,6059074004.0,58.6,19.5,2.5,0.1,17.1,2.2,11.3,33.6,43.8,0.046,1.42,22200.0,43.67,7.24,6.61
Los Angeles,6037185202.0,64.0,23.9,3.0,0.2,6.8,2.0,10.8,43.8,43.79,0.046,0.0,3589.0438259999996,69.42,7.73,4.49
San Bernardino,6071009800.0,63.1,20.4,11.3,0.8,1.7,2.7,21.7,70.5,43.79,0.065,0.0,56.20938773,106.1,12.98,6.57
Los Angeles,6037531800.0,96.8,2.3,0.2,0.2,0.3,0.1,15.4,62.1,43.79,0.046,0.13,12670.38125,54.8,10.61,4.08
Los Angeles,6037301801.0,18.9,52.0,2.4,0.2,21.6,4.9,7.9,41.1,43.77,0.051,0.0,1985.377518,37.44,9.28,4.59
San Bernardino,6071002105.0,50.1,32.2,7.0,0.1,8.7,1.9,13.8,39.0,43.76,0.065,0.37,5100.087004,50.04,12.18,3.74
Tulare ,6107001602.0,72.1,24.2,0.2,1.0,1.0,1.5,15.3,65.4,43.76,0.06,4963.6,164.6020523,43.54,6.63,6.36
Riverside ,6065040301.0,75.5,18.1,3.3,0.5,1.6,1.0,17.0,58.6,43.76,0.065,0.0,1879.177944,55.89,12.3,4.15
Merced ,6047001503.0,75.8,5.9,5.2,0.2,11.9,1.0,16.7,78.4,43.76,0.057,0.0,9.803703071000001,87.5,13.39,6.28
Los Angeles,6037555211.0,89.0,4.4,0.8,0.4,5.0,0.3,10.7,65.5,43.76,0.044000000000000004,0.0,5872.32994,53.12,8.57,5.33
Alameda ,6001410500.0,9.1,7.1,62.0,0.0,17.1,4.7,23.5,64.4,43.75,0.03,0.0,334.0836138,165.52,6.44,6.39
Alameda ,6001432501.0,36.4,19.9,5.7,0.3,35.0,2.6,7.9,32.3,43.73,0.03,0.0,622.9494196,75.08,9.79,4.99
Ventura ,6111003201.0,97.1,1.8,0.7,0.1,0.0,0.3,14.4,69.1,43.71,0.044000000000000004,135.86,247.50031040000002,116.82,15.05,5.57
Los Angeles,6037117405.0,90.6,3.3,3.6,0.1,1.6,0.8,14.7,78.9,43.7,0.057,0.0,621.7798935,80.01,9.0,6.18
Yolo ,6113010204.0,35.2,51.1,2.2,1.6,5.4,4.4,10.4,52.1,43.69,0.046,0.0,578.1384274000002,54.98,8.93,5.11
Los Angeles,6037106604.0,85.4,8.0,2.1,0.4,3.6,0.5,6.5,47.0,43.68,0.06,0.0,477.1800788,64.44,8.17,4.38
Tulare ,6107004500.0,72.7,23.9,0.2,0.5,1.8,0.8,12.7,65.8,43.66,0.065,330.73,0.749374289,47.27,7.5,5.03
Los Angeles,6037533104.0,97.9,1.1,0.6,0.0,0.3,0.2,11.5,76.9,43.65,0.046,0.0,6739.279687,59.19,11.02,3.9
Los Angeles,6037134520.0,72.8,14.6,2.8,0.2,7.7,2.0,6.3,54.5,43.63,0.057,0.0,392.4112367,63.55,9.76,4.91
San Bernardino,6071006604.0,84.8,5.6,5.8,0.1,2.9,0.8,23.2,68.6,43.6,0.065,0.0,1174.857926,68.58,10.73,6.98
Kern ,6029003114.0,47.4,37.5,8.5,0.5,4.0,2.0,15.2,39.6,43.6,0.065,0.0,49.61441932,51.04,11.74,4.94
Los Angeles,6037531202.0,99.0,0.5,0.1,0.0,0.2,0.1,8.9,56.6,43.6,0.046,0.0,28686.9717,56.06,8.7,4.36
Los Angeles,6037554101.0,69.6,11.2,9.1,0.3,8.3,1.5,11.9,67.2,43.6,0.044000000000000004,0.0,5994.5214,79.03,11.13,4.39
San Bernardino,6071001704.0,65.8,19.3,5.9,0.2,7.1,1.7,8.0,43.9,43.59,0.062,0.0,5868.5061810000025,59.19,11.17,4.61
Los Angeles,6037540101.0,89.4,1.9,7.5,0.2,0.7,0.3,7.0,42.2,43.57,0.044000000000000004,0.0,6493.855179,44.6,8.84,5.65
Los Angeles,6037293202.0,69.7,6.7,6.3,0.2,15.2,1.9,14.6,64.8,43.57,0.042,0.0,7805.601484999999,60.73,7.28,5.44
Stanislaus ,6099003908.0,40.1,50.9,1.8,0.3,2.7,4.3,8.2,66.5,43.56,0.057,23.95,385.9941901,52.34,11.39,6.38
Monterey ,6053000900.0,93.1,3.9,0.5,0.1,1.6,0.8,13.9,68.7,43.56,0.033,1179.52,0.779060601,72.45,7.24,3.9
Riverside ,6065043405.0,37.4,51.1,6.7,1.1,1.4,2.4,26.6,77.0,43.56,0.062,0.0,1940.894405,90.77,15.49,6.01
Santa Clara,6085501102.0,64.6,20.0,2.1,0.2,11.1,2.0,13.2,33.1,43.54,0.035,0.0,331.6999928,58.93,8.76,4.62
Los Angeles,6037208610.0,47.2,3.8,3.2,0.2,43.6,2.0,16.5,51.5,43.54,0.046,0.0,3292.899912000001,43.41,5.84,5.22
San Mateo,6081602300.0,45.4,19.5,1.5,0.2,30.3,3.2,7.6,24.3,43.53,0.03,0.0,144.71859630000003,63.39,8.04,5.45
Merced ,6047000901.0,53.2,39.9,3.0,0.2,2.0,1.7,9.9,45.2,43.51,0.057,2331.82,175.00803369999997,55.26,8.83,3.84
Los Angeles,6037530203.0,79.7,7.2,0.4,0.3,11.5,0.8,8.0,43.7,43.48,0.046,0.0,10061.866320000001,54.54,10.97,4.44
Contra Costa,6013358000.0,24.6,39.8,17.0,0.4,13.0,5.2,16.3,30.7,43.46,0.033,0.0,4229.358948,128.92,10.0,7.24
Los Angeles,6037191901.0,26.5,53.2,6.7,0.2,9.4,4.0,12.4,40.8,43.44,0.05,0.0,2045.2348969999998,37.35,5.93,5.23
Merced ,6047000203.0,72.4,20.6,0.9,0.3,4.4,1.4,14.5,49.5,43.44,0.057,7100.1,276.37013939999997,60.06,11.89,5.29
Los Angeles,6037554405.0,36.0,23.2,22.3,0.7,16.2,1.6,10.5,42.1,43.44,0.044000000000000004,0.0,6593.11394,77.92,11.0,6.32
Kern ,6029001102.0,83.9,11.4,2.8,0.6,0.5,0.9,20.0,75.0,43.42,0.062,0.0,17.44272534,70.38,8.74,6.93
Los Angeles,6037197600.0,55.0,20.4,2.0,0.2,21.0,1.4,11.6,41.2,43.42,0.046,0.0,4766.221047,30.09,4.44,6.22
Los Angeles,6037533106.0,96.8,2.2,0.1,0.0,0.8,0.0,8.6,67.9,43.42,0.046,0.0,7506.664908,59.19,11.02,3.24
Los Angeles,6037119002.0,86.5,5.3,0.5,0.1,6.8,0.8,9.3,40.9,43.41,0.055,0.0,745.5101228999997,73.79,7.7,4.28
Orange ,6059011502.0,45.0,35.5,1.9,0.2,15.3,2.2,8.7,42.0,43.4,0.046,0.0,13424.13467,50.57,8.78,5.15
Los Angeles,6037555102.0,49.0,9.9,10.3,0.3,28.4,2.1,10.3,52.0,43.4,0.044000000000000004,0.0,5683.645065,68.56,10.29,6.11
San Bernardino,6071002804.0,85.5,4.2,8.3,0.1,1.0,0.8,17.8,85.2,43.4,0.065,0.0,3500.624106,74.3,13.02,4.78
Orange ,6059110603.0,57.4,12.9,4.4,0.2,23.9,1.2,7.4,39.3,43.39,0.046,0.0,6305.712664,57.71,8.28,4.26
San Bernardino,6071001806.0,59.4,24.6,7.0,0.2,7.8,1.1,7.9,35.0,43.39,0.062,0.0,7128.265642,51.6,14.93,4.31
San Bernardino,6071012002.0,45.8,33.8,11.9,1.4,3.9,3.2,13.9,42.9,43.38,0.06,0.0,18.37520304,220.9,20.38,7.37
Contra Costa,6013381000.0,42.6,4.8,44.1,0.3,5.0,3.2,7.0,48.3,43.38,0.03,0.0,1030.1203480000001,147.14,10.01,7.7
Los Angeles,6037603500.0,40.8,19.4,10.3,0.4,26.2,3.0,3.3,24.1,43.37,0.044000000000000004,0.02,5427.3511979999985,93.59,11.42,5.56
Los Angeles,6037534403.0,96.5,2.5,0.2,0.1,0.4,0.2,12.3,59.1,43.37,0.046,0.0,7923.779639,40.88,8.44,4.9
San Joaquin,6077003409.0,33.2,12.7,10.9,0.2,39.5,3.6,16.4,56.5,43.36,0.048,0.0,512.5787166,90.28,13.52,6.56
Los Angeles,6037576001.0,18.4,48.3,13.0,0.4,15.4,4.6,4.4,21.8,43.36,0.042,0.0,9180.0,83.08,9.29,6.97
Butte ,6007003700.0,11.1,67.9,0.9,4.0,12.4,3.7,23.8,62.3,43.36,0.051,52.08,0.058009877,89.56,16.83,8.01
Sacramento ,6067009316.0,19.6,22.0,14.0,0.2,38.8,5.3,12.6,42.3,43.36,0.05,13.49,64.86454345,79.7,10.8,5.99
San Diego,6073003403.0,75.3,3.5,11.3,0.2,8.3,1.5,12.4,59.7,43.34,0.04,0.0,304.6627733,92.81,8.02,5.54
Tulare ,6107003902.0,60.0,34.2,0.5,0.9,3.0,1.5,16.2,61.7,43.32,0.065,54.34,23.92628275,52.07,10.72,6.2
Orange ,6059086501.0,83.7,12.4,0.6,0.1,2.0,1.2,7.9,45.0,43.32,0.046,0.0,11501.68978,49.25,7.47,4.17
Los Angeles,6037128102.0,68.1,18.2,5.8,0.2,6.1,1.6,11.1,55.2,43.31,0.055,0.0,940.9393146,69.43,11.97,5.93
San Bernardino,6071000901.0,47.0,38.8,6.0,0.3,5.5,2.4,9.6,43.9,43.31,0.062,0.56,4061.3414270000003,76.93,11.49,5.49
Los Angeles,6037294520.0,94.7,2.7,1.0,0.2,1.1,0.3,4.3,48.2,43.31,0.042,3.45,8989.695653,70.22,10.57,4.46
Orange ,6059063605.0,75.4,19.7,1.0,0.2,1.9,1.9,12.9,64.1,43.3,0.044000000000000004,0.0,6076.621251,43.69,6.66,6.1
Stanislaus ,6099001200.0,23.4,66.8,2.7,0.7,1.9,4.4,14.4,47.7,43.28,0.053,0.0,857.4167864,74.38,10.39,4.85
Los Angeles,6037543502.0,50.1,18.9,3.6,0.4,23.8,3.2,8.1,21.0,43.27,0.042,0.04,8544.74602,47.6,7.74,5.14
Los Angeles,6037132700.0,60.0,29.1,2.6,0.1,6.0,2.1,5.3,62.8,43.24,0.06,0.0,550.8248592,63.92,9.35,6.06
Alameda ,6001438203.0,25.0,18.9,6.5,0.3,44.6,4.8,13.0,23.4,43.22,0.035,0.0,449.68151409999996,98.66,13.78,6.84
Los Angeles,6037191203.0,45.1,27.4,4.4,0.2,20.6,2.2,13.4,60.0,43.21,0.048,0.0,2717.029298,37.71,6.32,7.5
Fresno ,6019006300.0,54.3,38.8,0.4,0.8,3.7,1.8,11.7,27.5,43.21,0.065,5369.36,516.1680973,57.51,8.36,5.26
Los Angeles,6037461600.0,59.9,8.2,22.0,0.2,7.9,1.8,12.4,51.2,43.2,0.051,0.0,2399.949257,61.68,7.76,8.51
Los Angeles,6037573402.0,36.2,25.2,14.0,0.2,20.4,3.9,12.9,45.6,43.19,0.042,0.01,8732.79475,41.95,7.82,5.31
San Bernardino,6071002107.0,52.5,30.2,8.7,0.3,5.9,2.4,11.2,48.3,43.19,0.065,0.0,6192.571115,50.04,12.18,5.84
Los Angeles,6037117303.0,39.2,39.8,3.0,0.1,16.0,1.8,16.9,36.5,43.19,0.057,0.0,604.2362561000001,74.48,8.45,4.23
Riverside ,6065042404.0,57.7,16.9,18.0,0.1,3.8,3.5,18.6,67.2,43.18,0.065,0.0,683.8720996000002,59.49,9.74,7.14
Fresno ,6019007202.0,55.5,39.7,0.5,0.5,2.0,2.0,18.0,39.0,43.18,0.065,640.91,461.11866749999996,64.16,8.96,5.98
Kern ,6029001000.0,67.2,27.9,1.2,0.9,1.3,1.4,17.8,56.6,43.17,0.062,474.52,13.30529891,74.45,9.34,3.33
Riverside ,6065031701.0,52.7,32.5,7.5,0.1,5.4,1.8,9.6,43.2,43.17,0.062,80.72,3306.166410000001,46.22,7.08,6.08
Orange ,6059086406.0,59.5,25.1,1.8,0.3,11.4,1.9,7.7,38.1,43.16,0.046,0.0,28639.418019999997,64.35,10.34,5.31
Kern ,6029001700.0,24.4,66.4,3.6,0.7,1.9,3.0,8.0,37.5,43.16,0.065,0.0,160.6150794,171.27,14.5,5.51
Los Angeles,6037601212.0,66.5,2.6,28.6,0.2,0.9,1.2,16.9,63.3,43.15,0.046,0.0,3250.279115,92.89,12.46,7.79
Sacramento ,6067009008.0,26.5,50.7,9.2,0.8,8.0,4.8,13.4,50.2,43.14,0.051,0.0,50.37740633,56.99,9.87,6.52
Los Angeles,6037554404.0,49.1,17.7,16.5,0.3,13.4,2.9,13.8,59.9,43.13,0.044000000000000004,0.07,7019.456954,73.52,10.39,7.1
Riverside ,6065043006.0,63.0,27.3,4.6,0.7,2.5,2.0,14.2,59.3,43.11,0.057,0.0,688.5898492,45.01,14.28,6.42
Fresno ,6019002906.0,51.2,15.1,7.0,0.5,24.6,1.5,11.7,73.1,43.05,0.065,0.0,2287.800818,63.8,8.41,4.71
Kern ,6029001500.0,74.9,12.3,10.5,0.5,0.7,1.0,13.0,82.9,43.04,0.065,0.0,37.19440529,80.28,9.14,5.94
San Mateo,6081610201.0,74.4,12.1,2.5,0.4,8.3,2.2,5.4,58.6,42.97,0.033,0.82,152.0483814,89.3,7.41,5.78
Orange ,6059087404.0,89.1,6.2,0.7,0.3,3.0,0.8,9.9,66.0,42.95,0.046,0.0,17318.04552,53.92,7.98,4.73
Los Angeles,6037302506.0,29.3,53.9,2.2,0.0,11.1,3.5,11.4,37.9,42.95,0.05,0.0,2453.470676000001,50.92,12.0,3.79
Orange ,6059001801.0,58.7,20.6,4.3,0.3,14.3,1.8,14.1,54.0,42.93,0.046,0.01,6580.270031,33.89,5.16,6.97
Los Angeles,6037191204.0,45.9,33.0,2.4,0.1,16.3,2.3,14.8,58.6,42.93,0.048,0.0,2676.237912,32.76,5.7,7.43
Los Angeles,6037408302.0,79.4,8.9,0.6,0.2,9.8,1.0,5.5,21.0,42.93,0.048,51.12,11916.835070000001,44.02,8.21,4.44
Los Angeles,6037222200.0,64.9,5.7,23.6,0.1,3.5,2.2,9.5,65.4,42.92,0.046,0.0,3409.384951,69.43,8.6,6.01
Los Angeles,6037221900.0,28.8,26.6,8.1,0.0,31.8,4.6,16.0,81.0,42.92,0.046,0.0,3733.974263,58.23,8.67,3.38
Orange ,6059089106.0,67.5,9.0,0.6,0.1,22.0,0.8,6.6,59.4,42.92,0.046,0.0,38051.607260000004,43.9,12.12,6.54
San Bernardino,6071003804.0,59.9,11.0,24.3,0.2,3.1,1.6,10.6,45.6,42.89,0.065,0.0,1681.974788,78.48,13.93,5.17
Los Angeles,6037186301.0,73.5,12.6,2.5,0.0,10.0,1.3,5.2,64.2,42.89,0.05,0.0,2568.459184,61.39,7.26,5.6
Los Angeles,6037192520.0,75.5,4.8,1.1,0.1,17.5,1.0,11.9,66.7,42.89,0.048,0.0,2666.0821960000007,44.73,5.19,6.26
Los Angeles,6037192510.0,50.4,4.8,1.0,0.2,42.4,1.2,10.9,54.5,42.89,0.048,0.0,2587.695276000001,49.92,5.6,9.2
Kern ,6029006304.0,92.0,6.4,0.3,0.2,0.6,0.5,15.4,79.5,42.89,0.065,2475.29,18.56612793,39.16,9.39,3.92
Orange ,6059074200.0,95.2,2.8,0.1,0.1,1.4,0.4,7.6,56.1,42.88,0.046,0.08,27448.8687,47.58,7.87,5.09
Santa Clara,6085503602.0,59.6,7.7,2.6,0.1,28.6,1.5,14.4,52.8,42.87,0.038,0.0,242.5109866,64.59,9.67,6.69
Los Angeles,6037552900.0,61.0,14.6,5.0,0.2,17.3,1.9,7.9,39.9,42.86,0.044000000000000004,38.7,5404.883145000002,62.19,13.27,4.86
Riverside ,6065031002.0,70.3,21.5,4.1,0.2,2.5,1.4,11.9,58.7,42.86,0.065,0.0,2613.3542899999998,69.71,10.3,6.2
Santa Clara,6085501401.0,75.5,10.6,2.7,0.4,9.3,1.6,7.5,46.4,42.85,0.035,0.0,313.7349437,47.16,7.05,5.58
San Joaquin,6077005130.0,54.4,31.3,2.8,0.8,8.7,2.0,8.1,40.6,42.85,0.05,0.09,1285.670631,82.64,14.08,3.63
Kern ,6029003400.0,45.8,50.3,0.3,0.3,1.4,1.8,12.5,59.9,42.85,0.06,0.0,1580.207676,34.02,11.24,8.33
Kern ,6029003206.0,53.2,24.1,6.2,0.2,14.0,2.3,9.3,34.4,42.83,0.065,4240.37,157.92970290000005,50.43,11.58,4.67
Los Angeles,6037404902.0,71.9,5.2,0.4,0.1,22.0,0.6,15.0,41.4,42.8,0.051,0.0,8118.059745999999,62.29,10.58,4.97
Kern ,6029002815.0,46.0,31.9,15.0,0.7,3.6,2.8,15.3,49.3,42.79,0.065,0.0,48.49024604,82.51,11.06,7.13
Riverside ,6065042706.0,74.2,7.4,12.9,0.3,2.9,2.3,26.6,62.5,42.77,0.065,0.0,353.85640589999997,50.89,12.93,7.22
Alameda ,6001402400.0,9.4,12.6,57.8,0.5,14.2,5.5,16.2,49.7,42.77,0.03,0.0,340.4552551999999,165.52,6.44,6.7
Santa Clara,6085512310.0,48.7,32.9,2.3,0.3,12.5,3.3,14.3,42.8,42.75,0.04,22.02,25.86954881,38.43,8.81,5.01
Los Angeles,6037601303.0,34.3,2.6,58.5,0.4,1.5,2.7,15.5,61.5,42.74,0.046,0.0,2500.930204,99.89,8.28,6.91
San Bernardino,6071002602.0,76.0,11.2,7.2,0.3,4.0,1.3,12.3,34.8,42.71,0.065,0.0,5349.445022,47.51,11.16,5.42
Los Angeles,6037554001.0,56.0,23.5,6.0,0.2,12.3,1.9,7.8,30.3,42.7,0.044000000000000004,1.84,5881.638438,79.03,11.13,6.13
Los Angeles,6037134720.0,45.0,27.8,6.3,0.1,17.5,3.4,9.3,31.7,42.68,0.057,0.01,425.3906529,57.95,10.27,6.22
Sacramento ,6067006300.0,33.6,43.4,8.8,1.2,8.5,4.3,24.4,65.4,42.68,0.05,0.0,171.2752409,128.07,13.96,4.28
Stanislaus ,6099002006.0,38.9,41.6,4.6,0.6,10.3,3.9,17.7,40.5,42.67,0.053,205.81,850.4940381000001,45.93,10.36,6.89
Los Angeles,6037602506.0,35.9,4.4,49.2,0.1,7.9,2.4,11.3,53.4,42.65,0.044000000000000004,0.01,4948.2430909999985,66.13,8.91,5.62
Yolo ,6113010101.0,41.3,38.5,5.8,1.4,9.3,3.8,13.8,63.2,42.65,0.046,0.01,589.5898298,80.98,13.37,5.05
