UCSC 2009 Price,UCSC 2019 Price
423000.0,777300.0
418600.0,793400.0
389700.0,794900.0
376900.0,792200.0
380900.0,781100.0
401200.0,765000.0
436100.0,768500.0
442100.0,769300.0
443600.0,744900.0
437700.0,744300.0
458100.0,753200.0
482600.0,799400.0
