UCR 2009 Price,UCR 2019 Price
188900.0,359300.0
180100.0,361300.0
172300.0,361900.0
161700.0,357200.0
155700.0,357900.0
153700.0,358400.0
154000.0,359500.0
156200.0,361800.0
158000.0,368400.0
162300.0,372900.0
166600.0,373600.0
169700.0,371000.0
