State,Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape,Revised rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft
Alabama,1960,3266740,6097,406,281,,898,4512,33823,11626,19344,2853
Alabama,1961,3302000,5564,427,252,,630,4255,32541,11205,18801,2535
Alabama,1962,3358000,5283,316,218,,754,3995,35829,11722,21306,2801
Alabama,1963,3347000,6115,340,192,,828,4755,38521,12614,22874,3033
Alabama,1964,3407000,7260,316,397,,992,5555,46290,15898,26713,3679
Alabama,1965,3462000,6916,395,367,,992,5162,48215,16398,28115,3702
Alabama,1966,3517000,8098,384,341,,1124,6249,53740,18551,30583,4606
Alabama,1967,3540000,8448,415,371,,1167,6495,57079,20227,31682,5170
Alabama,1968,3566000,8288,421,396,,1462,6009,62997,22403,34508,6086
Alabama,1969,3531000,8842,485,494,,1448,6415,66248,23559,36644,6045
Alabama,1970,3444165,10185,404,637,,1731,7413,75214,26739,40779,7696
Alabama,1971,3479000,10835,524,661,,2005,7645,76084,27547,40841,7696
Alabama,1972,3510000,10994,496,660,,2407,7431,73053,27714,38493,6846
Alabama,1973,3539000,12390,468,751,,2809,8362,78999,31754,39206,8039
Alabama,1974,3577000,13338,536,811,,3562,8429,93976,37841,46813,9322
Alabama,1975,3614000,14201,577,738,,4446,8440,111296,42059,59470,9767
Alabama,1976,3665000,14248,553,794,,3520,9381,125325,42879,72832,9614
Alabama,1977,3690000,15293,524,929,,3572,10268,121702,41901,69442,10359
Alabama,1978,3742000,15682,499,954,,3708,10521,131707,46001,74387,11319
Alabama,1979,3769000,15578,496,1037,,4127,9918,144372,48517,83791,12064
Alabama,1980,3861466,17320,509,1158,,5102,10551,173191,58952,102029,12210
Alabama,1981,3916000,18423,465,1021,,4952,11985,173411,56811,105471,11129
Alabama,1982,3943000,17653,417,1026,,4417,11793,165048,49531,104740,10777
Alabama,1983,3959000,16471,364,931,,3895,11281,145890,42485,94279,9126
Alabama,1984,3990000,17204,374,1002,,3833,11995,138487,39970,89198,9319
Alabama,1985,4021000,18398,396,1079,,4237,12686,140115,41612,88108,10395
Alabama,1986,4053000,22616,409,1150,,4523,16534,151191,46974,93396,10821
Alabama,1987,4083000,22833,380,1137,,4581,16735,158918,48927,99260,10731
Alabama,1988,4127000,23052,408,1228,,4860,16556,165209,50920,103282,11007
Alabama,1989,4118000,24329,421,1276,,5515,17117,166244,47224,106771,12249
Alabama,1990,4040587,28630,467,1319,,5805,21039,169974,44585,111336,14053
Alabama,1991,4089000,34518,469,1455,,6246,26348,184882,51873,118151,14858
Alabama,1992,4136000,36052,455,1704,,6819,27074,181837,49053,117801,14983
Alabama,1993,4187000,32676,484,1471,,6677,24044,171598,45578,111878,14142
Alabama,1994,4219000,28844,501,1487,,7223,19633,178015,44064,119951,14000
Alabama,1995,4253000,26894,475,1350,,7900,17169,179294,43586,120967,14741
Alabama,1996,4273000,24159,444,1397,,7124,15194,181803,42821,123350,15632
Alabama,1997,4319000,24379,426,1396,,6931,15626,186809,43786,127616,15407
Alabama,1998,4352000,22286,354,1443,,5698,14791,177779,41965,120943,14871
Alabama,1999,4369862,21421,345,1513,,5297,14266,171398,38648,119616,13134
Alabama,2000,4447100,21620,329,1482,,5702,14107,180539,40331,127399,12809
Alabama,2001,4468912,19582,379,1369,,5584,12250,173253,40642,119992,12619
Alabama,2002,4478896,19931,303,1664,,5962,12002,180400,42578,123932,13890
Alabama,2003,4503726,19331,299,1656,,6038,11338,182241,43245,124039,14957
Alabama,2004,4525375,19324,254,1742,,6042,11286,182340,44666,123650,14024
Alabama,2005,4548327,19678,374,1564,,6447,11293,177393,43473,120780,13140
Alabama,2006,4599030,19553,382,1646,,7062,10463,181249,44780,121451,15018
Alabama,2007,4627851,20775,412,1548,,7398,11417,184082,45379,124465,14238
Alabama,2008,4661900,21110,351,1618,,7346,11795,190416,50411,126539,13466
Alabama,2009,4708708,21194,322,1504,,6265,13103,178007,48844,118072,11091
Alabama,2010,4785401,18363,275,1355,,4864,11869,168828,42484,115564,10780
Alabama,2011,4803689,20166,299,1370,,4906,13591,173192,51119,111411,10662
Alabama,2012,4817528,21693,342,1296,,5020,15035,168878,47481,111523,9874
Alabama,2013,4833996,20834,346,1449,2055.0,4645,13788,161835,42410,108862,10563
Alabama,2014,4849377,20727,276,1436,2005.0,4701,13745,154094,39715,104238,10141
Alaska,1960,226167,236,23,47,,64,102,3494,751,2195,548
Alaska,1961,234000,208,27,31,,29,121,3605,891,2223,491
Alaska,1962,246000,225,11,46,,34,134,3849,865,2424,560
Alaska,1963,248000,272,16,37,,55,164,4843,946,3010,887
Alaska,1964,250000,375,26,56,,53,240,5040,1109,3046,885
Alaska,1965,253000,377,16,45,,101,215,6210,1403,3777,1030
Alaska,1966,272000,409,35,53,,98,223,7168,1613,4354,1201
Alaska,1967,272000,437,26,48,,96,267,7409,1873,4436,1100
Alaska,1968,277000,486,29,60,,146,251,8713,2070,5307,1336
Alaska,1969,282000,624,30,83,,190,321,10318,2455,6195,1668
Alaska,1970,302173,840,37,79,,217,507,10648,2387,6595,1666
Alaska,1971,313000,1112,42,136,,210,724,11923,2656,7631,1636
Alaska,1972,325000,1204,31,136,,216,821,13351,3155,8577,1619
Alaska,1973,330000,1269,33,147,,221,868,15044,3852,9456,1736
Alaska,1974,337000,1527,46,166,,298,1017,16131,3932,10016,2183
Alaska,1975,352000,1900,43,157,,456,1244,19912,4275,12399,3238
Alaska,1976,382000,2063,43,179,,477,1364,21700,4653,13969,3078
Alaska,1977,407000,1804,44,210,,394,1156,22201,5420,13715,3066
Alaska,1978,403000,1781,52,224,,368,1137,22585,5397,14522,2666
Alaska,1979,406000,1994,54,292,,445,1203,23193,5616,15076,2501
Alaska,1980,440142,1919,39,250,,360,1270,22930,5545,14916,2469
Alaska,1981,412000,2537,60,421,,472,1584,24634,5479,16310,2845
Alaska,1982,438000,2732,81,374,,586,1691,24479,5204,16672,2603
Alaska,1983,479000,2940,66,486,,465,1923,25889,5720,17085,3084
Alaska,1984,500000,3108,58,458,,547,2045,27468,6184,18140,3144
Alaska,1985,521000,3031,51,402,,484,2094,27588,6209,18220,3159
Alaska,1986,534000,3046,46,388,,470,2142,30307,6204,20879,3224
Alaska,1987,525000,2391,53,341,,384,1613,25841,5093,18195,2553
Alaska,1988,513000,2682,29,296,,374,1983,22566,4321,15911,2334
Alaska,1989,527000,2623,42,279,,356,1946,22567,4358,15811,2398
Alaska,1990,550043,2885,41,401,,422,2021,25457,4919,17428,3110
Alaska,1991,570000,3499,42,523,,645,2289,29000,5582,20375,3043
Alaska,1992,587000,3877,44,579,,640,2614,28816,5170,20728,2918
Alaska,1993,599000,4557,54,502,,733,3268,28795,4893,21201,2701
Alaska,1994,606000,4644,38,418,,886,3302,29947,4848,21824,3275
Alaska,1995,604000,4656,55,485,,937,3179,30097,5055,21891,3151
Alaska,1996,607000,4417,45,398,,710,3264,28667,5118,20557,2992
Alaska,1997,609000,4270,54,403,,648,3165,27840,4276,20780,2784
Alaska,1998,614000,4015,41,421,,532,3021,25316,4098,18611,2607
Alaska,1999,619500,3908,52,517,,566,2773,23099,3787,16654,2658
Alaska,2000,626932,3554,27,497,,490,2540,23087,3899,16838,2350
Alaska,2001,633630,3735,39,501,,514,2681,23160,3847,16695,2618
Alaska,2002,641482,3627,33,511,,489,2594,24118,3908,17739,2471
Alaska,2003,648280,3877,39,605,,446,2787,24386,3874,18051,2461
Alaska,2004,657755,4159,37,558,,447,3117,22172,3773,16159,2240
Alaska,2005,663253,4194,32,538,,537,3087,23975,4131,17249,2595
Alaska,2006,670053,4610,36,512,,600,3462,23975,4155,17284,2536
Alaska,2007,683478,4520,43,545,,581,3351,23096,3734,16929,2433
Alaska,2008,686293,4475,27,447,,645,3356,20090,3237,15225,1628
Alaska,2009,698473,4424,22,513,,654,3235,20538,3600,15251,1687
Alaska,2010,714146,4537,31,533,,594,3379,20259,3105,15535,1619
Alaska,2011,723860,4416,30,436,,576,3374,19094,2852,14854,1388
Alaska,2012,730307,4412,30,583,,630,3169,20037,2950,15565,1522
Alaska,2013,737259,4709,34,657,925.0,623,3127,21211,2917,16599,1695
Alaska,2014,736732,4684,41,555,771.0,629,3243,20334,3150,15445,1739
Arizona,1960,1302161,2704,78,209,,706,1711,36539,8926,23207,4406
Arizona,1961,1391000,2288,84,200,,786,1218,41304,10262,26099,4943
Arizona,1962,1509000,2610,86,198,,851,1475,45694,11693,28605,5396
Arizona,1963,1559000,3027,93,222,,897,1815,49894,12944,31213,5737
Arizona,1964,1581000,3368,83,259,,967,2059,54264,13726,35190,5348
Arizona,1965,1608000,3092,80,286,,895,1831,53957,13129,36208,4620
Arizona,1966,1618000,3272,98,296,,898,1980,63645,15066,42555,6024
Arizona,1967,1634000,3892,91,273,,1224,2304,75160,18583,49923,6654
Arizona,1968,1670000,4402,105,313,,1448,2536,77001,19496,50471,7034
Arizona,1969,1693000,5742,102,390,,1692,3558,82710,22053,53231,7426
Arizona,1970,1772482,6564,168,478,,2130,3788,98265,26464,62918,8883
Arizona,1971,1849000,7407,124,553,,2095,4635,102451,26549,67566,8336
Arizona,1972,1945000,8731,142,650,,2350,5589,106671,31429,66883,8359
Arizona,1973,2058000,9877,167,637,,3031,6042,128089,40301,76560,11228
Arizona,1974,2153000,12202,206,807,,4396,6793,164811,54557,97286,12968
Arizona,1975,2224000,12184,191,789,,3780,7424,173331,56265,105588,11478
Arizona,1976,2270000,10335,177,674,,2949,6535,168686,53722,105389,9575
Arizona,1977,2296000,11347,217,786,,3173,7171,166528,53866,102571,10091
Arizona,1978,2354000,12996,221,1040,,3835,7900,165998,49023,106042,10933
Arizona,1979,2450000,14528,219,1120,,4305,8884,177977,48916,116976,12085
Arizona,1980,2715357,17673,279,1227,,5258,10909,204193,58527,132814,12852
Arizona,1981,2793000,16082,227,1064,,4961,9830,196575,57655,127469,11451
Arizona,1982,2860000,14785,236,1100,,4537,8912,189161,53861,124723,10577
Arizona,1983,2963000,14642,213,1241,,3923,9265,174740,49440,114721,10579
Arizona,1984,3053000,15756,238,1316,,4003,10199,182670,52327,118604,11739
Arizona,1985,3187000,19202,254,1458,,4670,12820,207591,59585,135720,12286
Arizona,1986,3317000,21835,307,1425,,5614,14489,221015,63278,143845,13892
Arizona,1987,3386000,20742,253,1396,,4687,14406,222663,55059,153296,14308
Arizona,1988,3466000,21147,294,1345,,4750,14758,237808,54773,167121,15914
Arizona,1989,3556000,21320,237,1286,,4944,14853,265284,59284,181574,24426
Arizona,1990,3665228,23911,284,1500,,5897,16230,265229,61206,172375,31648
Arizona,1991,3750000,25152,291,1590,,6215,17056,252559,60281,159987,32291
Arizona,1992,3832000,25706,312,1647,,5867,17880,243629,54095,158053,31481
Arizona,1993,3936000,28142,339,1488,,6412,19903,264371,57684,172689,33998
Arizona,1994,4075000,28653,426,1465,,6601,20161,294273,60157,190649,43467
Arizona,1995,4218000,30095,439,1418,,7329,20909,316355,59762,207763,48830
Arizona,1996,4428000,27963,377,1381,,7429,18776,284964,55630,188300,41034
Arizona,1997,4555000,28411,375,1492,,7547,18997,299323,60077,195045,44201
Arizona,1998,4669000,26984,376,1451,,7715,17442,280001,56473,183137,40391
Arizona,1999,4778332,26334,384,1383,,7288,17279,255401,49423,167731,38247
Arizona,2000,5130632,27281,359,1577,,7504,17841,271811,51902,176705,43204
Arizona,2001,5306966,28675,400,1518,,8868,17889,293874,54821,186850,52203
Arizona,2002,5441125,30171,387,1608,,8000,20176,318296,59087,201541,57668
Arizona,2003,5579222,28638,441,1856,,7619,18722,314335,58613,198725,56997
Arizona,2004,5739879,28952,414,1896,,7721,18921,291203,56885,179012,55306
Arizona,2005,5953007,30478,445,2006,,8579,19448,287345,56328,176112,54905
Arizona,2006,6166318,33456,533,2449,,9491,20983,294389,59418,178321,56650
Arizona,2007,6338755,32835,548,2353,,9764,20170,287308,59988,177076,50244
Arizona,2008,6500180,31567,462,2200,,9809,19096,266653,58606,169460,38587
Arizona,2009,6595778,28128,380,2279,,8199,17270,236721,54308,155976,26437
Arizona,2010,6413158,26528,408,2191,,6953,16976,226802,50932,154137,21733
Arizona,2011,6467315,26789,397,2499,,7145,16748,229896,54695,155400,19801
Arizona,2012,6551149,28077,358,2282,,7383,18054,231701,52911,159808,18982
Arizona,2013,6634997,27576,355,2344,3174.0,6656,17391,223294,48292,158036,16966
Arizona,2014,6731484,26916,319,2464,3378.0,6249,16970,215240,43562,154091,17587
Arkansas,1960,1786272,1924,152,159,,443,1170,16548,5399,10250,899
Arkansas,1961,1797000,1809,163,130,,446,1070,16836,5536,10211,1089
Arkansas,1962,1823000,1667,144,124,,400,999,18199,5683,11169,1347
Arkansas,1963,1858000,1991,137,113,,466,1275,19949,6087,12315,1547
Arkansas,1964,1933000,2641,147,157,,565,1772,23633,7135,14622,1876
Arkansas,1965,1960000,2662,115,203,,465,1879,22313,6344,14254,1715
Arkansas,1966,1955000,3185,139,192,,574,2280,23850,7044,15140,1666
Arkansas,1967,1968000,4320,173,279,,693,3175,27728,8735,17301,1692
Arkansas,1968,2012000,4360,163,349,,796,3052,35046,11463,21506,2077
Arkansas,1969,1995000,4390,197,347,,885,2961,39271,12989,24069,2213
Arkansas,1970,1923295,4276,195,328,,877,2876,42290,14606,25388,2296
Arkansas,1971,1944000,4680,204,332,,947,3197,40581,14014,24173,2394
Arkansas,1972,1978000,4840,206,342,,1084,3208,41690,14541,24891,2258
Arkansas,1973,2037000,5905,180,398,,1456,3871,50244,18088,29204,2952
Arkansas,1974,2062000,6521,231,492,,1664,4134,61539,22170,35989,3380
Arkansas,1975,2116000,7369,213,547,,1854,4755,67540,22791,41199,3550
Arkansas,1976,2109000,6410,213,510,,1618,4069,65437,19771,42474,3192
Arkansas,1977,2144000,6924,188,592,,1784,4360,64709,20852,39924,3933
Arkansas,1978,2186000,7522,199,505,,1748,5070,68151,21140,42647,4364
Arkansas,1979,2180000,7984,198,595,,1626,5565,70949,21457,45267,4225
Arkansas,1980,2284037,7656,210,609,,1848,4989,79390,25559,49558,4273
Arkansas,1981,2294000,7119,209,577,,1776,4557,79972,24732,50959,4281
Arkansas,1982,2291000,7438,187,622,,1805,4824,81259,24547,52450,4262
Arkansas,1983,2328000,6930,178,586,,1614,4552,74563,22380,48140,4043
Arkansas,1984,2349000,7549,176,697,,1587,5089,71554,20810,46807,3937
Arkansas,1985,2359000,8199,187,686,,1617,5709,76372,22207,49957,4208
Arkansas,1986,2372000,9365,191,686,,1890,6598,83729,24429,54677,4623
Arkansas,1987,2388000,9839,182,779,,1890,6988,91537,25743,60862,4932
Arkansas,1988,2422000,10237,211,780,,2037,7209,91962,26443,60363,5156
Arkansas,1989,2406000,11397,203,924,,2660,7610,98213,28738,63084,6391
Arkansas,1990,2350725,12511,241,1019,,2661,8590,101897,28464,66630,6803
Arkansas,1991,2372000,14072,264,1058,,3217,9533,108677,29093,71487,8097
Arkansas,1992,2399000,13831,259,990,,3011,9571,100402,26214,66288,7900
Arkansas,1993,2424000,14381,247,1028,,3027,10079,102231,26646,67767,7818
Arkansas,1994,2453000,14598,294,1028,,3158,10118,103115,26911,68478,7726
Arkansas,1995,2484000,13741,259,925,,3122,9435,102780,24763,69935,8082
Arkansas,1996,2510000,13161,219,1046,,2864,9032,104790,23925,73010,7855
Arkansas,1997,2523000,13293,250,1098,,2814,9131,105759,25568,72253,7938
Arkansas,1998,2538000,12442,201,893,,2442,8906,96271,23559,65525,7187
Arkansas,1999,2551373,10848,143,710,,2024,7971,92283,21692,63927,6664
Arkansas,2000,2673400,11904,168,848,,2001,8887,98115,21443,69740,6932
Arkansas,2001,2694698,12190,148,892,,2181,8969,99106,22196,69590,7320
Arkansas,2002,2706268,11501,142,754,,2524,8081,101171,23229,71129,6813
Arkansas,2003,2727774,12449,180,911,,2227,9131,99084,25016,68061,6007
Arkansas,2004,2750000,13814,176,1183,,2372,10083,110911,30151,74242,6518
Arkansas,2005,2775708,14670,189,1202,,2532,10747,112914,30118,75510,7286
Arkansas,2006,2810872,15538,205,1325,,2749,11259,112025,31864,72646,7515
Arkansas,2007,2834797,15226,198,1294,,3105,10629,112130,32035,73096,6999
Arkansas,2008,2855390,14649,165,1463,,2777,10244,110360,33912,69905,6543
Arkansas,2009,2889450,14905,179,1378,,2576,10772,109078,34753,68228,6097
Arkansas,2010,2921588,14711,134,1321,,2369,10887,103820,32463,65796,5561
Arkansas,2011,2938582,14173,160,1230,,2357,10426,110430,34016,70645,5769
Arkansas,2012,2949828,13851,174,1233,,2310,10134,109389,32673,70982,5734
Arkansas,2013,2958765,13705,158,1135,1490.0,2261,9796,106477,30369,70430,5678
Arkansas,2014,2966369,14243,165,1182,1763.0,2050,10265,99018,24790,68627,5601
California,1960,15717204,37558,616,2859,,15287,18796,508511,143102,311956,53453
California,1961,16397000,38154,605,3033,,14832,19684,521008,146615,319834,54559
California,1962,16970000,39846,657,2946,,15598,20645,564451,158523,348373,57555
California,1963,17590000,42419,673,3080,,16458,22208,623709,175703,384289,63717
California,1964,18084000,48026,740,3621,,18667,24998,700630,196883,427960,75787
California,1965,18602000,52490,880,3948,,21081,26581,750997,225007,444217,81773
California,1966,18918000,57718,868,4432,,22317,30101,802944,241666,474122,87156
California,1967,19153000,67446,1039,4792,,28539,33076,900757,276958,526477,97322
California,1968,19221000,81293,1150,5744,,36991,37408,1018363,316081,582838,119444
California,1969,19443000,89878,1386,7053,,39240,42199,1096083,325891,638249,131943
California,1970,19953134,94741,1376,7005,,41277,45083,1170113,349788,682811,137514
California,1971,20223000,104872,1642,7300,,47626,48304,1248069,392277,711417,144375
California,1972,20468000,110667,1791,8127,,48829,51920,1201968,398960,663568,139440
California,1973,20601000,116563,1862,8357,,49531,56813,1182309,407824,643488,130997
California,1974,20907000,127658,1985,8494,,52822,64357,1303810,433194,737067,133549
California,1975,21185000,138842,2209,8807,,59827,67999,1387451,469726,784639,133086
California,1976,21520000,144041,2220,9614,,59318,72889,1412716,467980,806086,138650
California,1977,21896000,154582,2515,10825,,62852,78390,1380039,468452,766317,145270
California,1978,22294000,165626,2611,11316,,68235,83464,1420857,488966,777783,154108
California,1979,22696000,184087,2952,12239,,75767,93129,1511021,496310,847148,167563
California,1980,23532680,210290,3411,13693,,90420,102766,1633042,545138,913070,174834
California,1981,24159000,208485,3143,13566,,93781,97995,1625302,540806,921939,162557
California,1982,24724000,201429,2779,12529,,91988,94133,1599827,499466,935831,164530
California,1983,25174000,194491,2639,12093,,85826,93933,1486487,460460,867123,158904
California,1984,25622000,195589,2717,11702,,83924,97246,1461731,443094,857328,161309
California,1985,26365000,201763,2770,11421,,86387,101185,1516710,448506,890967,177237
California,1986,26981000,248370,3038,12119,,92512,140701,1576299,457698,913004,205597
California,1987,27663000,253943,2924,12109,,83341,155569,1545928,419969,896335,229624
California,1988,28168000,261912,2936,11780,,86141,161055,1607180,407631,933636,265913
California,1989,29063000,284136,3158,11966,,96431,172581,1681516,410468,972603,298445
California,1990,29760021,311051,3553,12688,,112208,182602,1654186,400392,951580,302214
California,1991,30380000,331122,3859,12896,,124939,189428,1726391,424656,986120,315615
California,1992,30867000,345624,3921,12761,,130897,198045,1716137,427491,968534,320112
California,1993,31211000,336381,4096,11766,,126436,194083,1678884,414182,945407,319295
California,1994,31431000,318395,3703,10984,,112160,191548,1622102,384257,929640,308205
California,1995,31589000,305154,3531,10554,,104611,186458,1536830,353895,902456,280479
California,1996,31878000,274996,2916,10244,,94222,167614,1385135,312212,830457,242466
California,1997,32268000,257582,2579,10189,,81468,163346,1312367,299240,784405,228722
California,1998,32667000,229883,2171,9782,,68782,149148,1188791,269012,724262,195517
California,1999,33145121,207879,2005,9363,,60039,136472,1053285,223814,660991,168480
California,2000,33871648,210531,2079,9785,,60249,138418,1056183,222293,651855,182035
California,2001,34600463,212867,2206,9960,,64614,136087,1134189,232273,697739,204177
California,2002,35001986,208388,2395,10198,,64968,130827,1176484,238428,715692,222364
California,2003,35462712,205551,2407,9994,,63770,129380,1215086,242274,731486,241326
California,2004,35842038,189175,2392,9615,,61768,115400,1227194,245903,728687,252604
California,2005,36154147,190178,2503,9392,,63622,114661,1200531,250521,692467,257543
California,2006,36457549,194483,2486,9235,,71142,111620,1159988,247230,669103,243655
California,2007,36553215,191561,2262,9046,,70706,109547,1112510,237850,654526,220134
California,2008,36756666,185329,2142,8903,,69388,104896,1080996,237811,650656,192529
California,2009,36961664,174934,1972,8713,,64093,100156,1009433,230198,615402,163833
California,2010,37338198,164133,1809,8331,,58116,95877,981939,228857,600558,152524
California,2011,37683933,154943,1792,7665,,54291,91195,973822,230075,596905,146842
California,2012,37999878,160944,1884,7837,,56521,94702,1049465,245767,635090,168608
California,2013,38431393,154739,1746,7464,10324.0,53640,89029,1018907,232058,621557,165292
California,2014,38802500,153709,1699,8398,11527.0,48680,91803,947192,202670,592670,151852
Colorado,1960,1753947,2408,73,229,,1362,744,35695,9996,21949,3750
Colorado,1961,1781000,2659,83,230,,1633,713,40156,11681,23551,4924
Colorado,1962,1907000,2990,96,283,,1624,987,47872,12988,28740,6144
Colorado,1963,1961000,2555,94,285,,1340,836,49624,13149,30465,6010
Colorado,1964,1966000,3119,82,336,,1323,1378,50528,13367,31829,5332
Colorado,1965,1969000,3007,69,318,,1073,1547,50245,12817,32532,4896
Colorado,1966,1977000,3340,79,343,,1064,1854,56160,14057,36205,5898
Colorado,1967,1975000,3789,81,412,,1342,1954,61565,15590,39885,6090
Colorado,1968,2048000,5387,110,535,,1977,2765,73720,18780,46326,8614
Colorado,1969,2100000,6275,112,605,,2324,3234,88188,23798,53743,10647
Colorado,1970,2207259,7874,137,795,,2849,4093,109512,30481,66043,12988
Colorado,1971,2283000,8530,149,877,,3080,4424,117422,33104,71423,12895
Colorado,1972,2357000,9555,196,905,,3332,5122,122286,37242,71154,13890
Colorado,1973,2437000,10088,193,944,,3970,4981,123845,38963,70931,13951
Colorado,1974,2496000,10728,151,910,,4137,5530,143170,46005,83722,13443
Colorado,1975,2534000,11735,188,1051,,4412,6084,157421,50710,94873,11838
Colorado,1976,2583000,10770,176,873,,3608,6113,164419,48558,104443,11418
Colorado,1977,2619000,13407,166,1100,,4471,7670,165405,50684,102225,12496
Colorado,1978,2670000,13296,196,1323,,4251,7526,169130,49917,106185,13028
Colorado,1979,2772000,14472,161,1472,,4353,8486,180984,49741,117898,13345
Colorado,1980,2878407,15215,198,1510,,4608,8899,195872,58455,124514,12903
Colorado,1981,2963000,15755,239,1352,,4726,9438,202119,60197,129658,12264
Colorado,1982,3045000,15354,182,1356,,4587,9229,200230,53260,134873,12097
Colorado,1983,3139000,14955,202,1316,,3968,9469,193070,48101,133271,11698
Colorado,1984,3178000,14548,184,1238,,3623,9503,191104,49619,128859,12626
Colorado,1985,3231000,15219,189,1321,,4012,9697,208336,56480,137868,13988
Colorado,1986,3267000,17105,230,1382,,4731,10762,212626,58531,138219,15876
Colorado,1987,3296000,15409,191,1344,,3916,9958,197225,50580,132266,14379
Colorado,1988,3290000,15548,187,1269,,3250,10842,187719,45503,128331,13885
Colorado,1989,3317000,15636,146,1202,,2984,11304,184692,41475,128195,15022
Colorado,1990,3294394,17328,138,1521,,2985,12684,182106,39822,128172,14112
Colorado,1991,3377000,18887,199,1588,,3628,13472,186235,39117,132717,14401
Colorado,1992,3470000,20086,216,1641,,4180,14049,186684,37853,131169,17662
Colorado,1993,3566000,20229,206,1633,,4160,14230,176856,36011,124787,16058
Colorado,1994,3656000,18632,199,1579,,3910,12944,175808,33843,127600,14365
Colorado,1995,3747000,16494,216,1480,,3604,11194,185705,35001,136184,14520
Colorado,1996,3823000,15463,180,1765,,3755,9763,180218,34436,130576,15206
Colorado,1997,3893000,14139,157,1677,,3242,9063,166902,30994,119801,16107
Colorado,1998,3971000,15008,183,1883,,3238,9704,163189,31231,115871,16087
Colorado,1999,4056133,13811,185,1679,,3056,8891,151002,26979,109228,14795
Colorado,2000,4301261,14367,134,1774,,3034,9425,156937,27133,112843,16961
Colorado,2001,4430989,15492,158,1930,,3555,9849,170887,28533,121360,20994
Colorado,2002,4501051,15882,179,2066,,3579,10058,180054,31678,125193,23183
Colorado,2003,4547633,15757,185,1913,,3738,9921,179706,32394,124496,22816
Colorado,2004,4601821,17121,201,1945,,3739,11236,180322,33010,123308,24004
Colorado,2005,4663295,18498,173,2026,,3948,12351,188449,34746,127602,26101
Colorado,2006,4753377,18794,171,2158,,3824,12641,163439,32411,110372,20656
Colorado,2007,4861515,17101,155,2075,,3461,11410,145808,28633,100519,16656
Colorado,2008,4939456,17480,165,2151,,3404,11760,139340,28054,97937,13349
Colorado,2009,5024748,17022,159,2269,,3371,11223,134196,26637,95079,12480
Colorado,2010,5047692,16339,129,2230,,3164,10816,135001,26196,97534,11271
Colorado,2011,5116302,16085,155,2285,,3299,10346,132781,25725,96054,11002
Colorado,2012,5189458,15951,152,2122,,3392,10285,139355,26163,101091,12101
Colorado,2013,5272086,16099,174,2198,2963.0,3136,9826,139974,25075,102375,12524
Colorado,2014,5355866,16554,151,2121,3039.0,3039,10325,135510,23472,99464,12574
Connecticut,1960,2535234,928,41,103,,236,548,28393,8452,16653,3288
Connecticut,1961,2614000,878,25,64,,238,551,31658,9526,18712,3420
Connecticut,1962,2597000,938,34,81,,258,565,33798,10259,19741,3798
Connecticut,1963,2666000,1192,47,88,,366,691,40853,12553,23397,4903
Connecticut,1964,2766000,1773,49,152,,414,1158,48185,14713,27755,5717
Connecticut,1965,2832000,1973,46,148,,546,1233,49978,15959,27862,6157
Connecticut,1966,2875000,2146,57,172,,601,1316,54844,17728,29919,7197
Connecticut,1967,2925000,2804,70,164,,941,1629,63922,21987,32543,9392
Connecticut,1968,2959000,3825,73,238,,1332,2182,81702,28538,42034,11130
Connecticut,1969,3000000,4415,86,260,,1696,2373,92349,29624,49891,12834
Connecticut,1970,3032217,5167,106,276,,2136,2649,100640,32874,53084,14682
Connecticut,1971,3081000,5968,96,367,,2563,2942,106370,32884,56875,16611
Connecticut,1972,3082000,6138,100,275,,2437,3326,98745,29489,54798,14458
Connecticut,1973,3076000,6421,102,342,,2589,3388,106296,31661,58742,15893
Connecticut,1974,3088000,7045,101,345,,2850,3749,129042,41808,70252,16982
Connecticut,1975,3095000,8308,120,385,,4069,3734,145111,46815,80581,17715
Connecticut,1976,3117000,8516,97,448,,3831,4140,147477,43135,86832,17510
Connecticut,1977,3108000,8774,132,521,,4026,4095,141719,41833,81450,18436
Connecticut,1978,3099000,9762,129,533,,4798,4302,143003,42207,80500,20296
Connecticut,1979,3115000,12902,131,752,,6021,5998,167131,48229,96997,21905
Connecticut,1980,3095224,12768,146,670,,6749,5203,169283,52638,95631,21014
Connecticut,1981,3132000,14033,168,687,,7709,5469,168790,52990,96927,18873
Connecticut,1982,3153000,12597,164,692,,6574,5167,158532,44481,96640,17411
Connecticut,1983,3138000,11767,129,627,,6296,4715,144437,39988,89421,15028
Connecticut,1984,3154000,12422,122,759,,6009,5532,133573,35607,84630,13336
Connecticut,1985,3174000,12758,120,763,,6032,5843,136572,36041,86524,14007
Connecticut,1986,3189000,13578,148,760,,6129,6541,140411,38190,87963,14258
Connecticut,1987,3211000,13455,156,800,,5720,6779,146958,39120,90852,16986
Connecticut,1988,3241000,14759,174,849,,6080,7656,150455,39477,91079,19899
Connecticut,1989,3239000,16576,190,892,,6956,8538,154119,40035,91483,22601
Connecticut,1990,3287116,18201,166,918,,7717,9400,158867,40355,94485,24027
Connecticut,1991,3291000,17761,187,960,,7384,9230,158770,39198,93384,26188
Connecticut,1992,3281000,16252,166,884,,6918,8284,149535,36372,89463,23700
Connecticut,1993,3277000,14949,206,800,,6447,7496,137443,32052,85876,19515
